MuseumList_20251106,,,,,,
名称,都道府県,市区町村,登録状況,設置者,館種,公式HP
さくら市ミュージアム-荒井寛方記念館-,栃木県,さくら市,登録博物館,市区町村立,歴史,https://www.city.tochigi-sakura.lg.jp/museum/index.html
佐野市郷土博物館,栃木県,佐野市,登録博物館,市区町村立,歴史,https://sano-haku.com/
佐野市立吉澤記念美術館,栃木県,佐野市,登録博物館,市区町村立,美術,https://www.city.sano.lg.jp/sp/yoshizawakinembijutsukan/index.html
和気記念館,栃木県,塩谷郡塩谷町,登録博物館,公益財団法人,美術,https://boubou.jp/
塚田歴史伝説館,栃木県,栃木市,登録博物館,一般財団法人,歴史,https://www.tochigi-kankou.or.jp/spot/tsukadarekishikan
栃木市立美術館,栃木県,栃木市,登録博物館,市区町村立,美術,https://www.city.tochigi.lg.jp/site/museum-tcam/
栃木市立文学館,栃木県,栃木市,登録博物館,市区町村立,歴史,https://www.city.tochigi.lg.jp/site/museum-tclm/
那珂川町馬頭広重美術館,栃木県,那須郡那珂川町,登録博物館,市区町村立,美術,http://www.hiroshige.bato.tochigi.jp/
藤城清治美術館那須高原,栃木県,那須郡那須町,登録博物館,一般財団法人,美術,http://fujishiro-seiji-museum.jp/
◎那須塩原市那須野が原博物館,栃木県,那須塩原市,登録博物館,市区町村立,総合,https://nasunogahara-museum.jp/
小杉放菴記念日光美術館,栃木県,日光市,登録博物館,市区町村立,美術,https://www.khmoan.jp/
日光二荒山神社宝物館,栃木県,日光市,登録博物館,宗教法人,歴史,http://www.futarasan.jp/
益子陶芸美術館,栃木県,芳賀郡益子町,登録博物館,市区町村立,美術,http://www.mashiko-museum.jp/
濱田庄司記念益子参考館,栃木県,芳賀郡益子町,登録博物館,公益財団法人,美術,https://mashiko-sankokan.net/
山縣有朋記念館,栃木県,矢板市,登録博物館,公益財団法人,歴史,https://www.general-yamagata-foundation.or.jp/
栃木県なかがわ水遊園,栃木県,大田原市,指定施設,都道府県立,水族館,https://tnap.jp/
国學院大學栃木学園参考館,栃木県,栃木市,指定施設,私立大学付属,歴史,https://www.kokugakuintochigi.ac.jp/sankokan/
那須ワールドモンキーパーク,栃木県,那須郡那須町,指定施設,会社,動物園,https://www.nasumonkey.com/
中之条町歴史と民俗の博物館「ミュゼ」,群馬県,吾妻郡中之条町,登録博物館,市区町村立,歴史,https://www.town.nakanojo.gunma.jp/site/myuze/
安中市学習の森ふるさと学習館,群馬県,安中市,登録博物館,市区町村立,歴史,https://www.city.annaka.lg.jp/site/gakushunomori/
相川考古館,群馬県,伊勢崎市,登録博物館,公益財団法人,歴史,http://aam.or.jp/
太田市美術館・図書館,群馬県,太田市,登録博物館,市区町村立,美術,https://www.artmuseumlibraryota.jp/
下仁田町自然史館,群馬県,甘楽郡下仁田町,登録博物館,市区町村立,科学,https://www.shimonita-geopark.jp/shizenshikan/index.html
